Country,Donor,Sector,Year,Amount_USD,Region
Bangladesh,Italy,I.1.d. Post-Secondary Education,2023,0.19,South Asia
India,United Kingdom,III.2.a. Industry,2023,0.19,South Asia
India,Germany,IV.2. Other Multisector,2023,0.19,South Asia
Philippines,Japan,"II.3.b. Energy generation, renewable sources",2023,0.19,Southeast Asia
Nigeria,EU Institutions,II.3.a. Energy Policy,2023,0.19,Sub-Saharan Africa
Myanmar,United States,"I.2.a. Health, General",2023,0.19,Southeast Asia
Kenya,Japan,I.1.b. Basic Education,2023,0.19,Sub-Saharan Africa
Bangladesh,Germany,I.5.a. Government & Civil Society-general,2023,0.19,South Asia
Myanmar,United States,"I.2.a. Health, General",2023,0.19,Southeast Asia
Kenya,Canada,II.5. Business & Other Services,2023,0.19,Sub-Saharan Africa
Kenya,United States,Administrative Costs of Donors,2023,0.19,Sub-Saharan Africa
Indonesia,United Kingdom,I.5.a. Government & Civil Society-general,2023,0.19,Southeast Asia
Nigeria,EU Institutions,I.4. Water Supply & Sanitation,2023,0.19,Sub-Saharan Africa
India,Australia,I.2.b. Basic Health,2023,0.19,South Asia
Bangladesh,EU Institutions,I.5.a. Government & Civil Society-general,2023,0.19,South Asia
Uzbekistan,Korea,I.1.d. Post-Secondary Education,2023,0.19,Central Asia
India,Germany,I.1.b. Basic Education,2023,0.19,South Asia
Ethiopia,Germany,III.1.a. Agriculture,2023,0.19,Sub-Saharan Africa
Ghana,United Kingdom,II.2. Communications,2023,0.19,Sub-Saharan Africa
Sri Lanka,United States,Administrative Costs of Donors,2023,0.19,Other
Kenya,Germany,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Sub-Saharan Africa
Kenya,Canada,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Nepal,Germany,I.1.c. Secondary Education,2023,0.19,South Asia
Ethiopia,Italy,I.1.b. Basic Education,2023,0.19,Sub-Saharan Africa
Ethiopia,Austria,I.4. Water Supply & Sanitation,2023,0.19,Sub-Saharan Africa
Pakistan,EU Institutions,I.5.a. Government & Civil Society-general,2023,0.19,South Asia
Pakistan,Canada,IV.2. Other Multisector,2023,0.19,South Asia
Sri Lanka,France,Administrative Costs of Donors,2023,0.19,Other
Kenya,EU Institutions,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
Sri Lanka,Canada,I.5.a. Government & Civil Society-general,2023,0.19,Other
Ethiopia,Canada,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Philippines,United States,IV.1. General Environment Protection,2023,0.19,Southeast Asia
Nepal,Japan,I.4. Water Supply & Sanitation,2023,0.19,South Asia
Sri Lanka,Canada,"I.5.b. Conflict, Peace & Security",2023,0.19,Other
Bangladesh,Sweden,III.2.a. Industry,2023,0.19,South Asia
Philippines,Canada,I.5.a. Government & Civil Society-general,2023,0.19,Southeast Asia
Indonesia,Japan,"I.1.a. Education, Level Unspecified",2023,0.19,Southeast Asia
Philippines,France,III.1.a. Agriculture,2023,0.19,Southeast Asia
Sri Lanka,Canada,I.5.a. Government & Civil Society-general,2023,0.19,Other
Ghana,Korea,"I.2.a. Health, General",2023,0.19,Sub-Saharan Africa
Uzbekistan,Korea,"I.2.a. Health, General",2023,0.19,Central Asia
Bangladesh,Korea,I.1.b. Basic Education,2023,0.19,South Asia
Myanmar,Food and Agriculture Organisation,III.1.a. Agriculture,2023,0.19,Southeast Asia
Indonesia,United States,II.5. Business & Other Services,2023,0.19,Southeast Asia
Ethiopia,United States,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Ethiopia,WFP,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Sri Lanka,Canada,"I.5.b. Conflict, Peace & Security",2023,0.19,Other
Ethiopia,Sweden,II.5. Business & Other Services,2023,0.19,Sub-Saharan Africa
Sri Lanka,International Labour Organisation,I.6. Other Social Infrastructure & Services,2023,0.19,Other
Nigeria,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Sub-Saharan Africa
Bangladesh,Japan,II.1. Transport & Storage,2023,0.19,South Asia
Ethiopia,Korea,"I.1.a. Education, Level Unspecified",2023,0.19,Sub-Saharan Africa
Sri Lanka,Canada,I.5.a. Government & Civil Society-general,2023,0.19,Other
Ethiopia,Korea,I.1.b. Basic Education,2023,0.19,Sub-Saharan Africa
Bangladesh,Korea,I.2.b. Basic Health,2023,0.19,South Asia
Sri Lanka,International Labour Organisation,I.6. Other Social Infrastructure & Services,2023,0.19,Other
Ghana,Canada,III.1.a. Agriculture,2023,0.19,Sub-Saharan Africa
Sri Lanka,International Labour Organisation,I.6. Other Social Infrastructure & Services,2023,0.19,Other
Ghana,Canada,III.1.b. Forestry,2023,0.19,Sub-Saharan Africa
Ethiopia,Canada,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Myanmar,Sweden,VIII.1. Emergency Response,2023,0.19,Southeast Asia
India,Canada,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,South Asia
Uzbekistan,Korea,"I.1.a. Education, Level Unspecified",2023,0.19,Central Asia
Sri Lanka,Korea,"I.2.a. Health, General",2023,0.19,Other
India,Korea,II.1. Transport & Storage,2023,0.19,South Asia
Philippines,Korea,I.6. Other Social Infrastructure & Services,2023,0.19,Southeast Asia
Nigeria,EU Institutions,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
Kenya,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Sub-Saharan Africa
Bangladesh,Canada,VIII.1. Emergency Response,2023,0.19,South Asia
Kenya,United States,I.2.b. Basic Health,2023,0.19,Sub-Saharan Africa
Philippines,Canada,I.5.a. Government & Civil Society-general,2023,0.19,Southeast Asia
Kenya,United States,Administrative Costs of Donors,2023,0.19,Sub-Saharan Africa
Ethiopia,Sweden,I.1.c. Secondary Education,2023,0.19,Sub-Saharan Africa
Ethiopia,Sweden,II.4. Banking & Financial Services,2023,0.19,Sub-Saharan Africa
Ethiopia,Canada,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
India,France,I.4. Water Supply & Sanitation,2023,0.19,South Asia
Pakistan,EU Institutions,IV.2. Other Multisector,2023,0.19,South Asia
Indonesia,Australia,IX. Unallocated / Unspecified,2023,0.19,Southeast Asia
Sri Lanka,United States,Administrative Costs of Donors,2023,0.19,Other
Kenya,Canada,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
Pakistan,International Development Association,"I.1.a. Education, Level Unspecified",2023,0.19,South Asia
Nepal,Korea,"I.2.a. Health, General",2023,0.19,South Asia
Bangladesh,International Development Association,VIII.3. Disaster Prevention & Preparedness,2023,0.19,South Asia
Myanmar,Australia,I.5.a. Government & Civil Society-general,2023,0.19,Southeast Asia
Ethiopia,Japan,I.1.b. Basic Education,2023,0.19,Sub-Saharan Africa
Nigeria,Sweden,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Philippines,Japan,"I.5.b. Conflict, Peace & Security",2023,0.19,Southeast Asia
Myanmar,France,II.2. Communications,2023,0.19,Southeast Asia
Philippines,Japan,I.4. Water Supply & Sanitation,2023,0.19,Southeast Asia
Indonesia,Korea,"II.3.c. Energy generation, non-renewable sources",2023,0.19,Southeast Asia
Kenya,UNHCR,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
India,UNHCR,VIII.1. Emergency Response,2023,0.19,South Asia
Ethiopia,International Development Association,III.3.a. Trade Policies & Regulations,2023,0.19,Sub-Saharan Africa
Ethiopia,Canada,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Sub-Saharan Africa
Kenya,UNHCR,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
India,UNHCR,VIII.1. Emergency Response,2023,0.19,South Asia
Kenya,Canada,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
Mongolia,Korea,"I.2.a. Health, General",2023,0.19,East Asia
Kenya,Sweden,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
Myanmar,Sweden,I.5.a. Government & Civil Society-general,2023,0.19,Southeast Asia
Kenya,Sweden,IV.1. General Environment Protection,2023,0.19,Sub-Saharan Africa
Kenya,EU Institutions,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
Indonesia,New Zealand,II.3.a. Energy Policy,2023,0.19,Southeast Asia
India,UNICEF,I.6. Other Social Infrastructure & Services,2023,0.19,South Asia
Kenya,UNICEF,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Kenya,Japan,I.2.b. Basic Health,2023,0.19,Sub-Saharan Africa
Ethiopia,Luxembourg,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Pakistan,Asian Development Bank,III.1.a. Agriculture,2023,0.19,South Asia
Philippines,United States,I.4. Water Supply & Sanitation,2023,0.19,Southeast Asia
Nigeria,Netherlands,"I.5.b. Conflict, Peace & Security",2023,0.19,Sub-Saharan Africa
Ethiopia,Norway,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
Myanmar,Norway,"I.5.b. Conflict, Peace & Security",2023,0.19,Southeast Asia
Nigeria,UNICEF,"I.2.a. Health, General",2023,0.19,Sub-Saharan Africa
Kenya,Global Environment Facility,IV.2. Other Multisector,2023,0.19,Sub-Saharan Africa
Pakistan,UNICEF,VIII.1. Emergency Response,2023,0.19,South Asia
Kenya,Belgium,I.4. Water Supply & Sanitation,2023,0.19,Sub-Saharan Africa
Sri Lanka,United States,Administrative Costs of Donors,2023,0.19,Other
Bangladesh,Switzerland,III.2.a. Industry,2023,0.19,South Asia
Uzbekistan,Türkiye,I.5.a. Government & Civil Society-general,2023,0.19,Central Asia
Bangladesh,United States,IV.1. General Environment Protection,2023,0.19,South Asia
Myanmar,Norway,"I.5.b. Conflict, Peace & Security",2023,0.19,Southeast Asia
India,International Bank for Reconstruction and Development,III.1.b. Forestry,2023,0.19,South Asia
Indonesia,New Zealand,II.3.a. Energy Policy,2023,0.19,Southeast Asia
Ethiopia,Ireland,VIII.3. Disaster Prevention & Preparedness,2023,0.19,Sub-Saharan Africa
Philippines,United States,IV.1. General Environment Protection,2023,0.19,Southeast Asia
Nigeria,United States,"I.2.a. Health, General",2023,0.19,Sub-Saharan Africa
Nepal,Finland,IV.1. General Environment Protection,2023,0.19,South Asia
Nigeria,UNICEF,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Philippines,UNICEF,"I.2.a. Health, General",2023,0.19,Southeast Asia
India,International Bank for Reconstruction and Development,II.3.a. Energy Policy,2023,0.19,South Asia
Sri Lanka,Japan,I.2.b. Basic Health,2023,0.19,Other
Philippines,United States,IV.1. General Environment Protection,2023,0.19,Southeast Asia
Bangladesh,United States,IV.2. Other Multisector,2023,0.19,South Asia
Pakistan,Asian Development Bank,III.1.a. Agriculture,2023,0.19,South Asia
Pakistan,Norway,"I.5.b. Conflict, Peace & Security",2023,0.19,South Asia
Bangladesh,Netherlands,I.4. Water Supply & Sanitation,2023,0.19,South Asia
Ethiopia,Luxembourg,III.1.a. Agriculture,2023,0.19,Sub-Saharan Africa
Pakistan,United States,II.4. Banking & Financial Services,2023,0.19,South Asia
India,UNICEF,VIII.1. Emergency Response,2023,0.19,South Asia
Ghana,United States,IV.1. General Environment Protection,2023,0.19,Sub-Saharan Africa
Kenya,United States,I.2.b. Basic Health,2023,0.19,Sub-Saharan Africa
Myanmar,Belgium,"I.5.b. Conflict, Peace & Security",2023,0.19,Southeast Asia
Nepal,Australia,"I.1.a. Education, Level Unspecified",2023,0.19,South Asia
India,UNICEF,I.2.b. Basic Health,2023,0.19,South Asia
Indonesia,Japan,IV.2. Other Multisector,2023,0.19,Southeast Asia
Mongolia,Asian Development Bank,I.4. Water Supply & Sanitation,2023,0.19,East Asia
Myanmar,United States,Administrative Costs of Donors,2023,0.19,Southeast Asia
Nepal,Norway,"I.1.a. Education, Level Unspecified",2023,0.19,South Asia
Nepal,Norway,II.3.f. Energy distribution,2023,0.19,South Asia
Indonesia,Belgium,IV.2. Other Multisector,2023,0.19,Southeast Asia
Kenya,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Sub-Saharan Africa
Ethiopia,Spain,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
India,Denmark,IV.1. General Environment Protection,2023,0.19,South Asia
Uzbekistan,Switzerland,I.5.a. Government & Civil Society-general,2023,0.19,Central Asia
India,International Bank for Reconstruction and Development,III.1.a. Agriculture,2023,0.19,South Asia
Pakistan,Asian Development Bank,III.2.a. Industry,2023,0.19,South Asia
Ghana,Norway,I.6. Other Social Infrastructure & Services,2023,0.19,Sub-Saharan Africa
Nigeria,United States,"I.5.b. Conflict, Peace & Security",2023,0.19,Sub-Saharan Africa
Bangladesh,Japan,II.1. Transport & Storage,2023,0.19,South Asia
Sri Lanka,Switzerland,I.5.a. Government & Civil Society-general,2023,0.19,Other
Uzbekistan,Switzerland,"I.1.a. Education, Level Unspecified",2023,0.19,Central Asia
Ethiopia,Norway,IV.2. Other Multisector,2023,0.19,Sub-Saharan Africa
Ghana,UNICEF,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
Sri Lanka,United States,Administrative Costs of Donors,2023,0.19,Other
Ethiopia,Finland,IV.2. Other Multisector,2023,0.19,Sub-Saharan Africa
Kenya,Denmark,IX. Unallocated / Unspecified,2023,0.19,Sub-Saharan Africa
Mongolia,Asian Development Bank,I.4. Water Supply & Sanitation,2023,0.19,East Asia
Philippines,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Southeast Asia
Ethiopia,United States,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Sri Lanka,Australia,"I.5.b. Conflict, Peace & Security",2023,0.19,Other
India,Japan,II.1. Transport & Storage,2023,0.19,South Asia
Kenya,Austria,I.1.d. Post-Secondary Education,2023,0.19,Sub-Saharan Africa
Mongolia,United States,I.5.a. Government & Civil Society-general,2023,0.19,East Asia
Myanmar,Norway,"I.5.b. Conflict, Peace & Security",2023,0.19,Southeast Asia
Ethiopia,Global Alliance for Vaccines and Immunization,I.2.b. Basic Health,2023,0.19,Sub-Saharan Africa
Uzbekistan,World Health Organisation,VIII.3. Disaster Prevention & Preparedness,2023,0.19,Central Asia
Philippines,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Southeast Asia
Indonesia,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Southeast Asia
Mongolia,Asian Development Bank,"I.1.a. Education, Level Unspecified",2023,0.19,East Asia
Kenya,United States,I.4. Water Supply & Sanitation,2023,0.19,Sub-Saharan Africa
Nigeria,Denmark,IX. Unallocated / Unspecified,2023,0.19,Sub-Saharan Africa
India,UNICEF,I.4. Water Supply & Sanitation,2023,0.19,South Asia
Ghana,Norway,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
Ethiopia,Switzerland,VIII.1. Emergency Response,2023,0.19,Sub-Saharan Africa
Kenya,Italy,I.2.b. Basic Health,2023,0.19,Sub-Saharan Africa
Bangladesh,United States,VIII.1. Emergency Response,2023,0.19,South Asia
Sri Lanka,UNFPA,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Other
Sri Lanka,Asian Development Bank,"II.3.b. Energy generation, renewable sources",2023,0.19,Other
Bangladesh,Luxembourg,VIII.3. Disaster Prevention & Preparedness,2023,0.19,South Asia
Pakistan,United States,Administrative Costs of Donors,2023,0.19,South Asia
Pakistan,Asian Development Bank,I.4. Water Supply & Sanitation,2023,0.19,South Asia
Ghana,United States,"I.2.a. Health, General",2023,0.19,Sub-Saharan Africa
Nigeria,United States,Administrative Costs of Donors,2023,0.19,Sub-Saharan Africa
Ethiopia,United States,Administrative Costs of Donors,2023,0.19,Sub-Saharan Africa
Ethiopia,United States,Administrative Costs of Donors,2023,0.19,Sub-Saharan Africa
Ethiopia,United States,Administrative Costs of Donors,2023,0.19,Sub-Saharan Africa
Nepal,Asian Development Bank,"II.3.b. Energy generation, renewable sources",2023,0.19,South Asia
India,International Bank for Reconstruction and Development,III.1.a. Agriculture,2023,0.19,South Asia
Philippines,Green Climate Fund,IV.1. General Environment Protection,2023,0.19,Southeast Asia
India,Italy,I.1.b. Basic Education,2023,0.19,South Asia
Kenya,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Sub-Saharan Africa
Philippines,United States,Administrative Costs of Donors,2023,0.19,Southeast Asia
India,Asian Development Bank,II.1. Transport & Storage,2023,0.19,South Asia
Nepal,United States,"I.2.a. Health, General",2023,0.19,South Asia
Bangladesh,UNICEF,Administrative Costs of Donors,2023,0.19,South Asia
Bangladesh,United States,I.5.a. Government & Civil Society-general,2023,0.19,South Asia
Sri Lanka,Japan,I.4. Water Supply & Sanitation,2023,0.19,Other
India,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,South Asia
Kenya,Netherlands,I.5.a. Government & Civil Society-general,2023,0.19,Sub-Saharan Africa
India,Asian Development Bank,II.1. Transport & Storage,2023,0.19,South Asia
Uzbekistan,United States,I.1.d. Post-Secondary Education,2023,0.19,Central Asia
Ethiopia,Spain,IV.2. Other Multisector,2023,0.19,Sub-Saharan Africa
Kenya,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.19,Sub-Saharan Africa
Bangladesh,United States,IV.2. Other Multisector,2023,0.19,South Asia
Bangladesh,Türkiye,I.2.b. Basic Health,2023,0.19,South Asia
Nepal,Norway,I.1.d. Post-Secondary Education,2023,0.19,South Asia
Myanmar,Norway,"I.5.b. Conflict, Peace & Security",2023,0.19,Southeast Asia
India,UNICEF,"I.2.a. Health, General",2023,0.19,South Asia
Ethiopia,United States,I.6. Other Social Infrastructure & Services,2023,0.19,Sub-Saharan Africa
India,Denmark,IX. Unallocated / Unspecified,2023,0.19,South Asia
India,International Bank for Reconstruction and Development,III.1.a. Agriculture,2023,0.19,South Asia
Ethiopia,Finland,I.6. Other Social Infrastructure & Services,2023,0.18,Sub-Saharan Africa
Nepal,Switzerland,I.5.a. Government & Civil Society-general,2023,0.18,South Asia
Myanmar,United States,Administrative Costs of Donors,2023,0.18,Southeast Asia
Kenya,Belgium,III.1.a. Agriculture,2023,0.18,Sub-Saharan Africa
Kenya,Switzerland,III.1.a. Agriculture,2023,0.18,Sub-Saharan Africa
Kenya,United States,I.4. Water Supply & Sanitation,2023,0.18,Sub-Saharan Africa
Kenya,Norway,I.5.a. Government & Civil Society-general,2023,0.18,Sub-Saharan Africa
Myanmar,UNICEF,I.5.a. Government & Civil Society-general,2023,0.18,Southeast Asia
Ethiopia,Switzerland,I.2.b. Basic Health,2023,0.18,Sub-Saharan Africa
Sri Lanka,Asian Development Bank,IV.2. Other Multisector,2023,0.18,Other
Mongolia,Switzerland,I.5.a. Government & Civil Society-general,2023,0.18,East Asia
Ghana,UNAIDS,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,Sub-Saharan Africa
Kenya,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,Sub-Saharan Africa
India,UNICEF,"I.1.a. Education, Level Unspecified",2023,0.18,South Asia
Bangladesh,Switzerland,II.5. Business & Other Services,2023,0.18,South Asia
Uzbekistan,United States,I.5.a. Government & Civil Society-general,2023,0.18,Central Asia
Ghana,United States,I.2.b. Basic Health,2023,0.18,Sub-Saharan Africa
Nigeria,UNICEF,VIII.1. Emergency Response,2023,0.18,Sub-Saharan Africa
Indonesia,New Zealand,IV.2. Other Multisector,2023,0.18,Southeast Asia
India,UNICEF,VIII.1. Emergency Response,2023,0.18,South Asia
Philippines,World Health Organisation,VIII.3. Disaster Prevention & Preparedness,2023,0.18,Southeast Asia
Philippines,United States,I.2.b. Basic Health,2023,0.18,Southeast Asia
India,UNICEF,IV.1. General Environment Protection,2023,0.18,South Asia
Myanmar,United States,III.1.a. Agriculture,2023,0.18,Southeast Asia
Nigeria,United States,I.5.a. Government & Civil Society-general,2023,0.18,Sub-Saharan Africa
Philippines,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,Southeast Asia
Bangladesh,Japan,"I.5.b. Conflict, Peace & Security",2023,0.18,South Asia
Ethiopia,United States,I.4. Water Supply & Sanitation,2023,0.18,Sub-Saharan Africa
Ethiopia,Denmark,I.6. Other Social Infrastructure & Services,2023,0.18,Sub-Saharan Africa
Philippines,World Health Organisation,"I.2.a. Health, General",2023,0.18,Southeast Asia
Myanmar,Denmark,VIII.1. Emergency Response,2023,0.18,Southeast Asia
Kenya,Japan,III.1.c. Fishing,2023,0.18,Sub-Saharan Africa
Nigeria,UNFPA,I.5.a. Government & Civil Society-general,2023,0.18,Sub-Saharan Africa
India,UNICEF,I.1.c. Secondary Education,2023,0.18,South Asia
Kenya,United States,IV.2. Other Multisector,2023,0.18,Sub-Saharan Africa
Bangladesh,UNFPA,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,South Asia
Ethiopia,UNFPA,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,Sub-Saharan Africa
Ghana,UNFPA,I.1.b. Basic Education,2023,0.18,Sub-Saharan Africa
Nepal,UNFPA,I.5.a. Government & Civil Society-general,2023,0.18,South Asia
Myanmar,Switzerland,VIII.1. Emergency Response,2023,0.18,Southeast Asia
Indonesia,Japan,IV.2. Other Multisector,2023,0.18,Southeast Asia
India,UNFPA,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,South Asia
Bangladesh,UNFPA,I.5.a. Government & Civil Society-general,2023,0.18,South Asia
India,World Health Organisation,I.2.b. Basic Health,2023,0.18,South Asia
Pakistan,Switzerland,I.5.a. Government & Civil Society-general,2023,0.18,South Asia
Sri Lanka,New Zealand,III.1.a. Agriculture,2023,0.18,Other
Philippines,Japan,III.1.a. Agriculture,2023,0.18,Southeast Asia
Myanmar,United States,II.5. Business & Other Services,2023,0.18,Southeast Asia
Nigeria,United States,II.2. Communications,2023,0.18,Sub-Saharan Africa
Ethiopia,International Atomic Energy Agency,IX. Unallocated / Unspecified,2023,0.18,Sub-Saharan Africa
Kenya,United States,Administrative Costs of Donors,2023,0.18,Sub-Saharan Africa
Nepal,UNICEF,Administrative Costs of Donors,2023,0.18,South Asia
Ghana,Japan,"I.1.a. Education, Level Unspecified",2023,0.18,Sub-Saharan Africa
Ethiopia,Global Alliance for Vaccines and Immunization,I.2.b. Basic Health,2023,0.18,Sub-Saharan Africa
Indonesia,Japan,I.2.b. Basic Health,2023,0.18,Southeast Asia
Ethiopia,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,Sub-Saharan Africa
Bangladesh,Asian Development Bank,II.1. Transport & Storage,2023,0.18,South Asia
Indonesia,Norway,IV.1. General Environment Protection,2023,0.18,Southeast Asia
Uzbekistan,Switzerland,I.5.a. Government & Civil Society-general,2023,0.18,Central Asia
Ethiopia,United States,IV.2. Other Multisector,2023,0.18,Sub-Saharan Africa
Ethiopia,United States,IV.2. Other Multisector,2023,0.18,Sub-Saharan Africa
India,United States,VIII.1. Emergency Response,2023,0.18,South Asia
Nepal,United States,IX. Unallocated / Unspecified,2023,0.18,South Asia
Kenya,Belgium,II.4. Banking & Financial Services,2023,0.18,Sub-Saharan Africa
India,World Health Organisation,VIII.3. Disaster Prevention & Preparedness,2023,0.18,South Asia
Myanmar,Ireland,VIII.1. Emergency Response,2023,0.18,Southeast Asia
India,Asian Development Bank,IV.2. Other Multisector,2023,0.18,South Asia
India,Switzerland,IV.1. General Environment Protection,2023,0.18,South Asia
India,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,South Asia
Philippines,United States,I.5.a. Government & Civil Society-general,2023,0.18,Southeast Asia
Uzbekistan,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,0.18,Central Asia
Ghana,United States,IV.1. General Environment Protection,2023,0.18,Sub-Saharan Africa
Uzbekistan,Korea,II.2. Communications,2023,0.18,Central Asia
India,Asian Development Bank,IV.2. Other Multisector,2023,0.18,South Asia
Nepal,Japan,I.1.b. Basic Education,2023,0.18,South Asia
Nepal,UNICEF,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,South Asia
Ethiopia,United States,I.5.a. Government & Civil Society-general,2023,0.18,Sub-Saharan Africa
India,Asian Development Bank,II.1. Transport & Storage,2023,0.18,South Asia
Ghana,United States,I.2.b. Basic Health,2023,0.18,Sub-Saharan Africa
Kenya,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,Sub-Saharan Africa
Nepal,Japan,I.1.b. Basic Education,2023,0.18,South Asia
Ethiopia,United States,I.1.d. Post-Secondary Education,2023,0.18,Sub-Saharan Africa
India,Belgium,III.2.a. Industry,2023,0.18,South Asia
Nigeria,United States,II.5. Business & Other Services,2023,0.18,Sub-Saharan Africa
Pakistan,Italy,IV.1. General Environment Protection,2023,0.18,South Asia
Pakistan,WFP,VIII.2. Reconstruction Relief & Rehabilitation,2023,0.18,South Asia
Nigeria,Japan,III.2.a. Industry,2023,0.18,Sub-Saharan Africa
Myanmar,UNICEF,I.5.a. Government & Civil Society-general,2023,0.18,Southeast Asia
Pakistan,Türkiye,"I.1.a. Education, Level Unspecified",2023,0.18,South Asia
Ethiopia,Denmark,VIII.1. Emergency Response,2023,0.18,Sub-Saharan Africa
India,Asian Development Bank,II.3.f. Energy distribution,2023,0.18,South Asia
Indonesia,Austria,I.2.b. Basic Health,2023,0.18,Southeast Asia
Myanmar,United States,VIII.1. Emergency Response,2023,0.18,Southeast Asia
Ethiopia,Japan,II.2. Communications,2023,0.18,Sub-Saharan Africa
Nigeria,UNICEF,VIII.1. Emergency Response,2023,0.18,Sub-Saharan Africa
Kenya,Australia,III.1.a. Agriculture,2023,0.18,Sub-Saharan Africa
Indonesia,United States,Administrative Costs of Donors,2023,0.18,Southeast Asia
Pakistan,UNICEF,I.1.b. Basic Education,2023,0.18,South Asia
Bangladesh,Asian Development Bank,II.1. Transport & Storage,2023,0.18,South Asia
Bangladesh,Luxembourg,I.5.a. Government & Civil Society-general,2023,0.18,South Asia
Nigeria,UNICEF,VIII.1. Emergency Response,2023,0.18,Sub-Saharan Africa
Ethiopia,United States,"I.2.a. Health, General",2023,0.18,Sub-Saharan Africa
Ethiopia,UNICEF,VIII.1. Emergency Response,2023,0.18,Sub-Saharan Africa
Ghana,UNICEF,I.4. Water Supply & Sanitation,2023,0.18,Sub-Saharan Africa
Kenya,Norway,IV.1. General Environment Protection,2023,0.18,Sub-Saharan Africa
Philippines,Finland,I.6. Other Social Infrastructure & Services,2023,0.18,Southeast Asia
India,Belgium,III.2.a. Industry,2023,0.18,South Asia
Ghana,Italy,I.1.d. Post-Secondary Education,2023,0.18,Sub-Saharan Africa
Ethiopia,United States,Administrative Costs of Donors,2023,0.18,Sub-Saharan Africa
Nepal,United States,II.1. Transport & Storage,2023,0.18,South Asia
Nepal,Norway,II.3.a. Energy Policy,2023,0.18,South Asia
Ethiopia,Ireland,I.5.a. Government & Civil Society-general,2023,0.18,Sub-Saharan Africa
Indonesia,Switzerland,VIII.1. Emergency Response,2023,0.18,Southeast Asia
Bangladesh,Asian Development Bank,II.1. Transport & Storage,2023,0.18,South Asia
Ethiopia,Ireland,I.5.a. Government & Civil Society-general,2023,0.18,Sub-Saharan Africa
India,Italy,I.2.b. Basic Health,2023,0.18,South Asia
Nepal,UNICEF,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,South Asia
Kenya,Austria,III.1.a. Agriculture,2023,0.18,Sub-Saharan Africa
India,UNICEF,I.5.a. Government & Civil Society-general,2023,0.18,South Asia
Nepal,Norway,I.1.b. Basic Education,2023,0.18,South Asia
India,United States,I.2.b. Basic Health,2023,0.18,South Asia
Kenya,United States,I.3. Population Policies/Programmes & Reproductive Health,2023,0.18,Sub-Saharan Africa
India,Switzerland,VIII.3. Disaster Prevention & Preparedness,2023,0.18,South Asia
